epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5024,5.60712,43.9341,4.15515,0,0,0,0,5.09288,5.70861,4.14343,4.59769e-05,4.59769e-05,4.59769e-05
2,23.4072,5.09642,27.641,3.95587,0,0,0,0,4.23604,5.6209,3.81628,9.20056e-05,9.20056e-05,9.20056e-05
3,33.1799,4.2538,20.0242,3.44951,0,0,0,0,3.7786,5.54045,3.28039,0.000137729,0.000137729,0.000137729
4,42.9058,3.79948,15.2246,2.8025,0.00121,0.00675,0.00088,0.00028,3.34698,5.25359,2.7847,0.000137624,0.000137624,0.000137624
5,52.7349,3.39177,12.336,2.46889,0.16134,0.00834,0.0034,0.00093,3.0848,4.93488,2.49256,0.000137165,0.000137165,0.000137165
6,62.542,3.16857,10.5766,2.25723,0.22766,0.00933,0.00605,0.00154,2.95176,4.61925,2.37681,0.000136706,0.000136706,0.000136706
7,72.3942,2.9715,9.63622,2.22349,0.18047,0.01124,0.0053,0.00179,2.83361,4.45285,2.28758,0.000136248,0.000136248,0.000136248
8,82.2641,2.8287,8.45903,2.09053,0.27761,0.01913,0.01364,0.00511,2.69458,4.06434,2.16732,0.000135789,0.000135789,0.000135789
9,92.1385,2.78086,7.89367,2.00606,0.25819,0.02045,0.01361,0.00561,2.61279,3.9509,2.11864,0.00013533,0.00013533,0.00013533
10,102.013,2.6462,7.41215,1.91145,0.32662,0.02659,0.01609,0.00619,2.5726,3.93091,2.03724,0.000134872,0.000134872,0.000134872
11,111.956,2.63047,6.97012,1.90005,0.30459,0.0267,0.01839,0.00664,2.47528,3.74539,1.96638,0.000134413,0.000134413,0.000134413
12,121.888,2.55094,6.55653,1.83541,0.29783,0.03765,0.01899,0.00726,2.5242,3.65842,2.00224,0.000133954,0.000133954,0.000133954
13,131.812,2.51075,6.20385,1.82262,0.2971,0.03247,0.02006,0.00707,2.42327,3.66418,1.93868,0.000133496,0.000133496,0.000133496
14,141.744,2.47712,5.89263,1.80105,0.32334,0.0406,0.02701,0.01148,2.39412,3.52279,1.88261,0.000133037,0.000133037,0.000133037
15,151.677,2.45111,5.64698,1.76314,0.39447,0.03313,0.02583,0.01079,2.3096,3.51697,1.8593,0.000132578,0.000132578,0.000132578
16,161.645,2.4666,5.5475,1.73858,0.37432,0.04079,0.02851,0.01143,2.35148,3.41501,1.88697,0.000132119,0.000132119,0.000132119
17,171.577,2.42206,5.29275,1.70575,0.37382,0.04963,0.03092,0.01395,2.23959,3.33538,1.81229,0.000131661,0.000131661,0.000131661
18,181.522,2.37999,5.06884,1.71994,0.32699,0.05132,0.03195,0.01383,2.29617,3.33788,1.83586,0.000131202,0.000131202,0.000131202
19,191.449,2.36459,5.01888,1.71879,0.35399,0.05262,0.03486,0.01456,2.25077,3.28632,1.79258,0.000130743,0.000130743,0.000130743
20,201.398,2.32574,4.84445,1.69711,0.42169,0.05186,0.03523,0.01407,2.22417,3.24892,1.79798,0.000130285,0.000130285,0.000130285
21,211.333,2.30184,4.62787,1.66379,0.42368,0.06406,0.04144,0.01714,2.19542,3.1596,1.75235,0.000129826,0.000129826,0.000129826
22,221.279,2.31763,4.66675,1.66927,0.46005,0.06417,0.04627,0.02082,2.19239,3.14439,1.74935,0.000129367,0.000129367,0.000129367
23,231.213,2.26064,4.4783,1.6375,0.44681,0.07237,0.04697,0.02051,2.1855,3.12378,1.74964,0.000128909,0.000128909,0.000128909
24,241.162,2.28926,4.36815,1.61849,0.42434,0.07277,0.05123,0.02117,2.17964,3.05615,1.7446,0.00012845,0.00012845,0.00012845
25,251.103,2.24741,4.23166,1.61772,0.4967,0.07118,0.05146,0.02311,2.15421,3.09538,1.71192,0.000127991,0.000127991,0.000127991
26,261.037,2.28747,4.20215,1.63136,0.43366,0.06617,0.05031,0.02279,2.11692,3.06273,1.72557,0.000127532,0.000127532,0.000127532
27,270.969,2.22931,4.0414,1.5872,0.43834,0.09055,0.05478,0.02562,2.13225,2.94532,1.6988,0.000127074,0.000127074,0.000127074
28,280.931,2.24564,3.91774,1.60029,0.44965,0.0833,0.05974,0.02833,2.09409,2.93892,1.68084,0.000126615,0.000126615,0.000126615
29,290.857,2.1868,3.88781,1.54559,0.44577,0.0954,0.06336,0.03141,2.08831,2.91582,1.68619,0.000126156,0.000126156,0.000126156
30,300.797,2.19245,3.87369,1.55348,0.45289,0.08431,0.06504,0.03118,2.06755,2.85739,1.66897,0.000125698,0.000125698,0.000125698
31,310.752,2.16803,3.66249,1.54926,0.47212,0.08888,0.0684,0.03339,2.08087,2.84592,1.66687,0.000125239,0.000125239,0.000125239
32,320.699,2.16557,3.68048,1.56584,0.46544,0.08801,0.0723,0.03314,2.08845,2.82222,1.67579,0.00012478,0.00012478,0.00012478
33,330.649,2.18544,3.56963,1.54408,0.57799,0.09947,0.07946,0.0359,2.08813,2.82422,1.66017,0.000124322,0.000124322,0.000124322
34,340.603,2.14025,3.51536,1.55442,0.56342,0.08833,0.0776,0.0371,2.06658,2.78192,1.65803,0.000123863,0.000123863,0.000123863
35,350.553,2.1239,3.45407,1.52979,0.53567,0.0938,0.08376,0.04199,2.03275,2.79179,1.64484,0.000123404,0.000123404,0.000123404
36,360.499,2.10209,3.37509,1.51253,0.57172,0.09165,0.0835,0.03875,2.03685,2.73009,1.63048,0.000122945,0.000122945,0.000122945
37,370.417,2.11452,3.37598,1.52137,0.58947,0.09576,0.08748,0.04296,2.01651,2.7069,1.61222,0.000122487,0.000122487,0.000122487
38,380.352,2.10931,3.44226,1.51317,0.53846,0.10105,0.09264,0.04537,1.99379,2.66507,1.61203,0.000122028,0.000122028,0.000122028
39,390.307,2.10228,3.28519,1.50168,0.54013,0.11819,0.09086,0.04418,2.01491,2.64226,1.62316,0.000121569,0.000121569,0.000121569
